Enrollment_ID,Name,Department,Email,Attendance,Mock_Status,Mock_Score,CGPA,Internships,Projects,Aptitude_Score,Communication_Score,Placed
70000470,Amit Verma,IT,amit_verma@outlook.com,,Present,91.34,,2,2,43.55,45.03,Not Placed
70000115,Pooja Verma,AIML,pooja_verma@outlook.com,40,Absent,,7.91,4,3,79.92,27.62,Placed
70000878,Vikram Singh,CSE,,74,Absent,,5.35,0,,53.03,50.44,Placed
70000579,Karan Das,CSIT,karan.das@gmail.com,87,Present,76.17,7.61,2,6,70.5,84.12,Placed
70000435,Karan Gupta,AIML,karan.gupta@gmail.com,,Present,84.35,6.7,4,6,53.69,54.58,Not Placed
70001381,Riya Patel,IT,,41,Absent,,5.1,2,,36.56,44.59,Not Placed
70001714,Karan Kumar,CSE,karan.kumar@gmail.com,95,Absent,,,0,,61.03,29.31,Placed
70001758,Karan Singh,IT,,73,Present,58.05,6.34,1,5,33.28,31.25,Placed
70001683,Arjun Gupta,CSIT,arjun.gupta@gmail.com,52,Absent,,5.54,0,1,40.52,,Not Placed
70000493,Arjun Das,CSIT,arjun.das@gmail.com,93,Absent,,,4,4,32.94,72.16,Not Placed
70001188,Anjali Gupta,CSIT,anjali.gupta@gmail.com,51,Absent,,7.78,4,4,88.19,38.75,Placed
70000711,Arjun Verma,CSE,,41,Present,47.68,,0,3,70.11,65.9,Placed
70000976,Rahul Kumar,CSIT,,69,Present,27.8,,4,6,86.13,,Not Placed
70000899,Amit Singh,CSIT,amit_singh@outlook.com,83,Absent,,9.1,1,,65.96,71.69,Not Placed
70000338,Vikram Kumar,AIML,vikram.kumar@gmail.com,,Absent,,5.4,1,5,88.56,,Not Placed
70000697,Arjun Yadav,CSIT,arjun.yadav@gmail.com,65,Present,45.26,,4,,29.3,,Not Placed
70001374,Amit Gupta,IT,amit.gupta@gmail.com,67,Present,81.48,8.17,2,4,37.15,74.91,Placed
70001482,Karan Kumar,DS,karan.kumar@gmail.com,50,Absent,,8.64,,3,28.24,93.98,Placed
70001672,Anjali Kumar,DS,anjali.kumar@gmail.com,,Present,36.73,7.74,1,1,87.78,37.54,Not Placed
70000205,Vikram Das,AIML,vikram_das@outlook.com,,Absent,,5.03,4,,36.59,,Not Placed
70000087,Pooja Yadav,AIML,,89,Absent,,8.63,1,6,,32.83,Not Placed
70000419,Karan Verma,AIML,,,Absent,,8.97,2,6,43.64,75.12,Not Placed
70000486,Arjun Singh,IT,,66,Absent,,6,0,1,43.62,,Placed
70000058,Karan Singh,IT,karan.singh@gmail.com,72,Present,25.51,9.6,2,2,69.02,63.21,Not Placed
70001750,Anjali Verma,DS,anjali.verma@gmail.com,97,Present,55.1,,,5,,89.5,Placed
70001184,Neha Patel,CSE,neha.patel@gmail.com,79,Absent,,9.59,0,6,88.29,56.75,Placed
70000175,Arjun Das,DS,,,Absent,,6.74,4,1,,48.76,Not Placed
70001390,Vikram Verma,DS,vikram_verma@outlook.com,62,Present,78.34,7.87,1,,27.57,44.81,Not Placed
70001941,Sneha Kumar,AIML,sneha_kumar@outlook.com,51,Absent,,9.07,0,4,,94.63,Placed
70001268,Vikram Das,IT,vikram.das@gmail.com,,Absent,,,4,3,90.48,92.59,Placed
70000966,Anjali Kumar,DS,anjali_kumar@outlook.com,79,Present,44.57,9.02,4,6,,62.55,Not Placed
70000473,Vikram Mehta,CSE,,,Present,67.36,6.69,1,,,,Placed
70001247,Vikram Sharma,CSE,vikram.sharma@gmail.com,,Present,54.29,,1,4,76.18,43.92,Placed
70001692,Rahul Jain,CSE,,47,Present,80.71,,1,6,58.35,54.56,Not Placed
70000513,Anjali Jain,IT,,75,Absent,,6.13,0,6,77.26,75.17,Placed
70000869,Arjun Kumar,DS,arjun_kumar@outlook.com,,Present,65.32,8.27,1,4,26.61,29.59,Placed
70001044,Neha Yadav,DS,neha.yadav@gmail.com,53,Absent,,6.39,,3,34.38,67.03,Not Placed
70000986,Amit Das,CSE,amit.das@gmail.com,90,Absent,,7.9,,3,,40.8,Placed
70001430,Anjali Mehta,DS,anjali.mehta@gmail.com,97,Absent,,7.01,4,,21.56,68.73,Not Placed
70000830,Sneha Yadav,CSE,sneha.yadav@gmail.com,40,Present,83.49,5.46,3,4,61.17,32.5,Not Placed
70000455,Sneha Gupta,CSE,sneha_gupta@outlook.com,71,Present,36.08,8.61,2,2,80.43,29.24,Not Placed
70000193,Neha Das,CSIT,,66,Present,45.51,6.67,2,3,94.93,97.65,Placed
70000852,Anjali Mehta,DS,anjali_mehta@outlook.com,46,Absent,,9.33,4,2,34.78,,Not Placed
70000987,Neha Kumar,AIML,neha.kumar@gmail.com,53,Absent,,5.55,1,5,69.68,59.79,Placed
70000676,Vikram Gupta,AIML,vikram_gupta@outlook.com,41,Absent,,8.31,1,6,,85.37,Placed
70001296,Neha Patel,CSE,neha_patel@outlook.com,52,Present,58.14,9.55,,1,84.9,,Not Placed
70000723,Neha Kumar,IT,,89,Present,68.22,,,3,85.97,88.8,Not Placed
70000467,Anjali Gupta,CSE,,48,Present,85.91,5.94,0,,29.36,32.56,Placed
70000683,Rahul Verma,CSIT,,81,Absent,,8.61,2,1,27.13,79.51,Placed
70000416,Sneha Kumar,CSE,sneha_kumar@outlook.com,53,Absent,,5.18,3,,60.72,42.47,Not Placed
70000793,Rahul Singh,CSIT,,92,Absent,,6.27,4,3,53.33,95.99,Placed
70001035,Karan Das,CSE,karan_das@outlook.com,40,Present,97.76,7.28,3,5,45.31,,Placed
70000206,Sneha Gupta,CSE,sneha.gupta@gmail.com,74,Present,85.19,7.09,3,2,38.95,,Placed
70000466,Karan Gupta,AIML,karan_gupta@outlook.com,67,Present,66.76,5.17,2,3,26.66,42.74,Not Placed
70001379,Arjun Patel,DS,,47,Absent,,6.97,,2,48.44,41.97,Not Placed
70000154,Amit Gupta,IT,amit.gupta@gmail.com,56,Present,26.12,9.54,0,6,,47.51,Not Placed
70001081,Arjun Gupta,AIML,arjun.gupta@gmail.com,83,Absent,,5.09,0,5,48.46,71.52,Not Placed
70001043,Arjun Kumar,DS,,73,Present,89.29,7.6,3,,,,Placed
70001009,Arjun Yadav,DS,arjun_yadav@outlook.com,41,Present,92.72,7.99,1,5,95.39,77.14,Placed
70001262,Sneha Jain,IT,sneha.jain@gmail.com,64,Present,53.62,6.27,0,5,35.61,99.34,Placed
70000634,Sneha Jain,IT,sneha.jain@gmail.com,80,Absent,,7.91,,3,,79.49,Placed
70001943,Pooja Gupta,CSIT,,61,Absent,,7.1,4,4,40.83,93.84,Not Placed
70001074,Riya Sharma,AIML,,69,Absent,,8.54,4,6,68.53,65.43,Not Placed
70001549,Rahul Mehta,IT,rahul.mehta@gmail.com,69,Present,38.26,8.13,0,,44.99,99.59,Not Placed
70001354,Anjali Kumar,IT,anjali_kumar@outlook.com,42,Absent,,7.36,,2,70.38,68.66,Placed
70001621,Riya Singh,CSIT,riya_singh@outlook.com,48,Absent,,8.61,4,4,80.53,,Not Placed
70001625,Pooja Yadav,IT,,47,Present,89.94,7.97,2,2,46.72,46.41,Not Placed
70000029,Neha Singh,DS,,41,Present,32.23,,2,5,71.22,93.7,Not Placed
70000031,Amit Patel,IT,amit.patel@gmail.com,80,Present,77.44,5.85,1,5,81.74,39.15,Not Placed
70000843,Riya Gupta,AIML,,73,Present,41.28,9.8,0,6,64.09,,Placed
70000542,Vikram Singh,AIML,vikram.singh@gmail.com,69,Absent,,5.96,4,5,60.63,50.8,Placed
70001687,Rahul Patel,CSIT,rahul.patel@gmail.com,63,Present,98.99,9.4,1,,64.09,57.61,Placed
70001843,Vikram Verma,CSIT,,,Absent,,7.51,4,4,44.48,,Placed
70000257,Rahul Verma,IT,rahul.verma@gmail.com,60,Present,29.69,8.05,,6,67.49,,Not Placed
70000745,Vikram Singh,AIML,vikram_singh@outlook.com,,Present,50.34,5.42,2,4,31.6,,Not Placed
70000108,Anjali Gupta,CSIT,anjali.gupta@gmail.com,78,Present,68.49,7.23,1,6,75.91,45.15,Not Placed
70000654,Karan Das,CSIT,karan.das@gmail.com,,Absent,,5.62,4,,52.4,28.93,Not Placed
70000158,Sneha Sharma,AIML,sneha_sharma@outlook.com,67,Present,38.35,7.13,,5,77.18,22.39,Placed
70000398,Arjun Kumar,AIML,arjun_kumar@outlook.com,87,Present,77.8,,,,86.44,86.67,Placed
70000309,Neha Singh,AIML,neha.singh@gmail.com,64,Present,81.56,8.32,1,3,42.58,21.58,Placed
70001951,Arjun Sharma,DS,arjun.sharma@gmail.com,,Present,39.36,9.55,0,6,94.7,25.85,Not Placed
70000760,Riya Das,CSE,riya_das@outlook.com,79,Absent,,7.46,,3,53.13,32.19,Placed
70000105,Sneha Jain,CSIT,sneha.jain@gmail.com,60,Present,80.88,8.41,3,,81.71,48.54,Placed
70000891,Sneha Sharma,CSIT,sneha_sharma@outlook.com,56,Absent,,5.61,3,1,93.96,41.38,Not Placed
70000929,Neha Gupta,CSE,neha.gupta@gmail.com,79,Absent,,,2,,,,Placed
70001626,Anjali Gupta,DS,anjali_gupta@outlook.com,56,Absent,,,0,3,40.13,39.58,Not Placed
70000741,Rahul Yadav,DS,rahul.yadav@gmail.com,,Absent,,7.61,0,1,56.29,32.08,Placed
70000875,Rahul Sharma,AIML,rahul.sharma@gmail.com,72,Absent,,7.57,3,1,84.4,92.91,Placed
70000694,Neha Kumar,CSE,neha_kumar@outlook.com,94,Present,90.71,8.01,3,,68.02,57.25,Not Placed
70000024,Riya Kumar,CSE,riya.kumar@gmail.com,47,Absent,,8.43,0,,32.22,,Placed
70000335,Neha Patel,DS,,77,Present,65.69,8.91,2,2,52.04,70.19,Not Placed
70001955,Arjun Das,CSE,,83,Absent,,5.93,3,2,80.92,98.07,Not Placed
70001366,Pooja Mehta,AIML,pooja.mehta@gmail.com,72,Absent,,8.44,1,2,,76,Placed
70000343,Sneha Kumar,IT,sneha.kumar@gmail.com,,Present,95.82,,2,6,,80.59,Placed
70000599,Vikram Sharma,AIML,,93,Absent,,5.62,4,1,30.71,63.42,Placed
70000176,Pooja Verma,CSE,,,Present,61.99,6.59,,3,82.65,98.59,Placed
70001111,Karan Verma,AIML,karan.verma@gmail.com,,Present,43.54,6.17,1,6,71.66,89.73,Placed
70001377,Riya Jain,CSIT,,,Present,37.65,9.31,4,6,69.61,,Not Placed
70000840,Riya Singh,CSIT,riya_singh@outlook.com,50,Absent,,6.92,0,6,32.68,,Placed
70001166,Sneha Das,IT,sneha_das@outlook.com,45,Present,96.64,8.29,,2,63.6,,Not Placed
70001151,Amit Singh,CSIT,amit_singh@outlook.com,92,Present,39.13,9.08,3,1,,84.99,Placed
70001962,Neha Patel,DS,neha_patel@outlook.com,90,Absent,,5.31,,2,31.29,,Not Placed
70001078,Amit Kumar,CSE,amit_kumar@outlook.com,44,Present,89.24,9.62,,1,22.2,67.45,Not Placed
70001108,Arjun Sharma,AIML,arjun.sharma@gmail.com,48,Present,97.65,,0,3,78.72,40.31,Placed
70000139,Riya Singh,CSIT,riya_singh@outlook.com,74,Absent,,8.4,1,5,99.92,,Not Placed
70001399,Anjali Jain,AIML,anjali.jain@gmail.com,86,Absent,,,3,4,,36.95,Not Placed
70001446,Neha Das,IT,neha.das@gmail.com,74,Absent,,5.77,1,6,,41.52,Not Placed
70000788,Anjali Patel,IT,anjali_patel@outlook.com,,Present,49.76,8.85,4,,78.12,57.64,Not Placed
70000282,Vikram Das,DS,,84,Absent,,8.77,,4,89.9,72.06,Not Placed
70000973,Neha Kumar,IT,,53,Absent,,6.01,,3,79.31,42.83,Placed
70001689,Riya Sharma,CSIT,riya.sharma@gmail.com,81,Present,79.61,6.95,,6,85.82,,Placed
70000451,Neha Das,CSE,,56,Present,97.95,9.12,1,,78.3,,Not Placed
70000266,Sneha Patel,DS,sneha.patel@gmail.com,98,Present,32.76,5.25,1,2,,99.92,Placed
70001691,Sneha Jain,AIML,sneha.jain@gmail.com,95,Present,37.48,8.25,2,2,48.03,,Placed
70000727,Anjali Verma,CSE,anjali_verma@outlook.com,96,Absent,,9.53,4,1,72.35,27.89,Not Placed
70000130,Amit Yadav,CSIT,,87,Absent,,,4,4,55.96,52.42,Placed
70000450,Neha Jain,CSIT,neha.jain@gmail.com,41,Absent,,6.55,,3,45.08,,Placed
70000356,Karan Patel,CSIT,karan.patel@gmail.com,98,Present,30.6,7.82,,1,27.71,97.52,Not Placed
70000966,Anjali Kumar,DS,anjali_kumar@outlook.com,79,Present,44.57,9.02,4,6,,62.55,Not Placed
70001091,Neha Patel,CSIT,neha.patel@gmail.com,86,Present,77.38,8.02,,,54.73,,Placed
70000400,Neha Verma,IT,neha_verma@outlook.com,,Present,98.92,7.08,2,5,49.55,32.4,Placed
70001568,Karan Patel,AIML,,84,Absent,,7.23,4,6,98.28,89.38,Not Placed
70001596,Pooja Singh,CSIT,pooja.singh@gmail.com,67,Present,90.64,5.9,1,4,27.22,,Placed
70001638,Arjun Das,CSIT,arjun_das@outlook.com,79,Present,56.22,9.43,2,6,40.1,63.52,Not Placed
70001888,Rahul Kumar,AIML,rahul.kumar@gmail.com,88,Present,91.35,6.7,4,3,63.36,74.31,Not Placed
70000900,Anjali Kumar,AIML,,,Present,81.65,,1,6,26.43,26.81,Placed
70000241,Arjun Yadav,IT,arjun.yadav@gmail.com,56,Present,98.01,5.07,4,3,,89.81,Placed
70001650,Vikram Verma,CSIT,vikram.verma@gmail.com,,Present,78,9.37,0,2,,98.02,Placed
70001670,Karan Kumar,CSE,karan.kumar@gmail.com,,Present,34.76,7.06,1,3,23.75,43.2,Not Placed
70001518,Vikram Gupta,CSIT,vikram_gupta@outlook.com,67,Absent,,8.47,,6,33.98,85.83,Placed
70000942,Karan Verma,CSIT,karan.verma@gmail.com,61,Absent,,6.24,,1,,45.39,Placed
70000443,Vikram Patel,AIML,vikram_patel@outlook.com,67,Absent,,,2,3,,42.94,Placed
70000791,Anjali Mehta,CSE,anjali_mehta@outlook.com,80,Present,36.58,,,,39.88,49.98,Not Placed
70001048,Karan Jain,CSIT,karan_jain@outlook.com,63,Present,82.46,,0,,,41.93,Placed
70000436,Amit Verma,IT,,81,Absent,,5.97,3,,88.88,41.62,Placed
70001663,Amit Gupta,CSE,,54,Present,71.55,7.3,0,6,70.52,56.81,Not Placed
70000481,Rahul Mehta,CSIT,,74,Absent,,8.8,3,2,93.21,39.75,Not Placed
70001952,Pooja Jain,DS,pooja_jain@outlook.com,53,Present,92.93,5.58,1,2,,99.01,Not Placed
70000492,Anjali Gupta,CSIT,anjali.gupta@gmail.com,44,Present,53.76,7.06,4,1,90.16,62.65,Not Placed
70000670,Pooja Kumar,CSE,,42,Absent,,6.32,4,,85.79,57.16,Placed
70001795,Riya Sharma,AIML,riya.sharma@gmail.com,43,Absent,,8.27,3,3,,54.13,Placed
70000378,Vikram Kumar,AIML,vikram.kumar@gmail.com,68,Present,57.92,8.3,2,3,,,Not Placed
70000494,Riya Gupta,DS,,80,Absent,,5.01,,,,20.93,Placed
70000459,Karan Kumar,CSIT,karan_kumar@outlook.com,95,Present,60.84,8.98,2,,65.2,58.65,Not Placed
70000222,Karan Kumar,CSIT,karan.kumar@gmail.com,,Present,80.6,6.44,0,6,23.02,83.5,Not Placed
70000054,Amit Singh,CSE,,76,Present,32.11,8.07,3,1,95.36,66.75,Placed
70001940,Pooja Yadav,IT,pooja_yadav@outlook.com,80,Present,26.99,7.72,2,6,77.63,,Not Placed
70001876,Pooja Singh,DS,,99,Present,21.79,6.64,0,1,33.67,,Placed
70001425,Pooja Gupta,IT,,59,Present,43.55,,1,3,,,Placed
70001133,Riya Jain,IT,riya.jain@gmail.com,91,Present,35.51,8.39,3,3,50.8,72.01,Placed
70001905,Arjun Gupta,IT,,46,Present,34.16,5.2,1,1,33.58,,Placed
70000783,Anjali Kumar,AIML,anjali_kumar@outlook.com,,Present,21.32,8.73,3,1,,78.96,Not Placed
70001257,Anjali Verma,CSE,anjali_verma@outlook.com,54,Present,49.22,9.8,0,,65.12,38.6,Not Placed
70001055,Pooja Jain,CSIT,pooja_jain@outlook.com,,Absent,,,1,2,91.34,79.57,Not Placed
70001563,Karan Kumar,CSIT,karan.kumar@gmail.com,,Absent,,,1,,64.61,76.57,Not Placed
70001957,Riya Sharma,IT,riya.sharma@gmail.com,47,Absent,,7.7,2,3,36.18,,Placed
70000657,Neha Patel,CSE,neha.patel@gmail.com,69,Absent,,,2,,40.61,93.83,Not Placed
70000787,Neha Verma,CSIT,,,Present,42.75,6,1,,,99.94,Not Placed
70001747,Karan Gupta,CSIT,karan.gupta@gmail.com,,Present,97.04,8.45,3,6,25.5,48.75,Not Placed
70000233,Anjali Jain,AIML,,44,Present,96.88,5.45,,5,52.79,93.87,Not Placed
70000994,Rahul Singh,DS,,72,Absent,,8.35,1,,47.57,,Not Placed
70001722,Pooja Kumar,AIML,pooja_kumar@outlook.com,68,Absent,,9.51,4,2,99.97,54.36,Not Placed
70001765,Vikram Verma,AIML,vikram_verma@outlook.com,59,Absent,,5.23,,5,38.16,66.82,Placed
70001017,Karan Gupta,AIML,karan.gupta@gmail.com,43,Absent,,8.45,1,,73.97,25.28,Not Placed
70001408,Riya Gupta,CSIT,riya_gupta@outlook.com,85,Absent,,8.52,2,,,38.36,Not Placed
70001276,Karan Mehta,AIML,,43,Present,27.66,8.9,4,2,98,59.39,Not Placed
